baidu,百度
狞笑,奸笑
凝固,凝结
凝集,凝固
凝集,凝聚
凝结,固结
凝结,凝聚
凝聚,凝集
凝练,凝炼
凝炼,凝练
凝神,凝思
凝视,凝望
凝视,注视
凝思,凝神
凝听,聆听
凝望,凝睇
凝滞,呆滞
牛鼎烹鸡,大材小用
牛耳,盟主
牛骥同皂,泥沙俱下
牛山濯濯,草木不生
牛头不对马嘴,驴唇不对马嘴
牛衣对泣,寒门饮恨
牛饮,豪饮
牛仔裤,牛崽裤
牛崽裤,牛仔裤
扭捏,摇摆
扭曲,歪曲
扭转,改变
忸怩,腼腆
忸怩,内疚
纽扣,钮扣
钮扣,纽扣
农村,乡村
农夫,农民
农歌,牧歌
农家子,田舍郎
农具,耕具
农历,夏历
农历,阴历
农民,农人
农人,农夫
农人,农民
农事,稼穑
浓厚,稠密
浓厚,浓郁
浓厚,浓重
浓厚,粘稠
浓烈,浓郁
浓密,稠密
浓墨涂抹,轻笔细描
浓缩,稀释
浓艳,淡雅
浓艳,冶艳
浓郁,浓烈
浓云,彤云
浓重,浓厚
浓妆艳抹,花枝招展
浓妆艳抹,浓装艳裹
浓装艳裹,浓妆艳抹
脓包,饭桶
弄法,玩法
弄狗相咬,挑拨是非
弄柳拈花,拈花惹草
弄堂,胡衕
弄堂,衖堂
弄虚作假,故弄玄虚
弄月,赏月
弄璋,梦熊
奴婢,奴仆
奴才,主子
奴仆,仆众
奴视,卑视
奴颜婢膝,卑躬屈膝
奴颜媚骨,卑躬屈膝
努力,尽力
努力,勉力
努力,起劲
努目,瞪眼
怒不可遏,大肆咆哮
怒不可遏,拊膺切齿
怒不可遏,令人发指
怒不可遏,怒形于色
怒潮,狂潮
怒斥,痛斥
怒冲冲,气汹汹
怒发冲冠,勃然大怒
怒发冲冠,发上指冠
怒吼,咆哮
怒目,瞋目
怒目,横目
怒气,肝火
怒气冲冲,怒气冲发
怒气冲发,怒气冲冲
怒色,喜色
怒视,瞪眼
暖锅,火锅
暖和,和缓
暖和,和暖
暖和,和煦
暖和,温暖
暖和,温顺
暖和,温煦
暖烘烘,冷飕飕
暖乎乎,暖呼呼
暖呼呼,暖乎乎
暖流,寒流
虐待,凌虐
虐待,荼毒
虐待,优待
虐政,暴政
挪动,移动
挪动转移,搬动
挪用,调用
懦夫,胆小鬼
懦夫,怯夫
懦弱,脆弱
女婢,女侍
女儿态,脂粉气
女乐,歌女
女伶,<a
女伶,女优
女强人,铁娘子
女士,密斯
女侍,女婢
女优,女伶
女中豪杰,巾帼须眉
女中豪杰,女中丈夫
女中丈夫,巾帼英雄
女中丈夫,女中豪杰
女子,男子
讴歌,歌颂
讴歌,赞美
呕吐,吐逆
呕心沥血,处心积虑
偶尔,偶然
偶合,巧合
偶然,偶尔
偶然,无意
偶然,无意偶尔
偶然,有时
偶然性,必然性
偶一为之,逢场作戏
藕断丝连,难舍难分
怄气,生气
趴下,爬下
爬虫类,爬行动物
爬行,匍匐
爬行动物,爬虫类
爬犁,扒犁
爬山,登山
爬下,趴下
爬泳,自由式泳法
掱手,扒手
怕惧,惊怕
怕羞,害臊
怕羞,含羞
拍案而起,义愤填膺
拍案而起,赞不绝口
拍案叫绝,击节称赏
拍案叫绝,拍桌惊叹
拍案叫绝,赞不绝口
拍板,点头
拍马屁,捧臭脚
拍门,<a
拍门,敲门
拍手,鼓掌
拍照,摄影
排斥,排挤
排除,解除
排除,破除
排除,清扫
排除,扫除
排除,消除
排队,列队
排汇,吸收
排击,排挤
排挤,架空
排挤,排斥
排挤,排出
排挤,排击
排挤,倾轧
排解,排遣
排练,排演
排列,摆列
排列,布列
排列,陈列
排列,分列
排难解纷,排忧解难
排遣,排解
排山倒海,翻江倒海
排山倒海,翻天覆地
排山倒海,雷霆万钧
排闼,推门
排泄,分泌
排泄,渗出
排演,排练
排印,付梓
排忧解难,排难解纷
排阵,布阵
排阵,列阵
徘徊,徜徉
徘徊,盘桓
徘徊,彷徨
徘徊歧路,彷徨歧途
牌坊,牌楼
牌号,商标
牌楼,牌坊
牌照,派司
派别,家数
派别,流派
派别,派系
派遣,差遣
派遣,吩咐?消磨
派遣,吩咐消磨
派遣,调派
派司,牌照
派头,气派
攀登,攀爬
攀登,攀缘
攀附,高攀
攀附,攀援
攀龙附凤,接贵攀高
攀龙附凤,攀高结贵
攀龙附凤,趋炎附势
攀龙趋凤,阿谀奉承
攀龙趋凤,阿谀奉迎
攀龙趋凤,攀高接贵
攀龙趋凤,攀龙附凤趋炎附势
攀亲,结亲
攀亲,联姻
攀升,爬升
攀谈,扳话
攀谈,交谈
攀援,攀附
攀缘,攀登
攀辕卧辙,遮道挽留
盘剥,剥削
盘缠,川资
盘缠,旅费
盘缠,盘费
盘点,清点
盘蹲,箕踞
盘费,路费
盘费,盘川
盘根错节,错综复杂
盘根错节,千头万绪
盘货,盘点
盘据,豆剖
盘据,割据
盘踞,占据
盘考,盘问
盘弄,拨弄
盘盘大才,过人才略
盘曲,蟠曲
盘绕,环绕
盘跚,蹒跚
盘石,磐石
盘算,策画
盘算,打定
盘算,计算
盘算,谋略
盘算推算,估计打算
盘陁,盘陀
盘陀,盘陁
盘问,查问
盘问,查询
盘问,究诘
盘问,盘查
盘问,盘诘
盘问,盘考
盘旋,回旋
盘旋,回旋扭转
盘游,般游
磐石,盘石
蹒跚,踉跄
蹒跚,盘跚
蟠根错节,盘根错节
蟠踞,盘据
蟠曲,盘曲
判别,辨别
判词,判语
判辞,判词
判定,断定
判定,鉴定
判定,剖断
判断,断定
判断,判别
判断,判定
判然不同,截然有异
判然不同,迥然不同
判若两人,一如既往
判语,判词
盼望,盼愿
盼望,期望
盼望,祈望
盼望,企望
盼望,希望
叛变,变节
叛变,反叛
叛变,哗变
叛乱,兵变
叛逆,背叛
叛逆,起义
叛逃,潜逃
滂湃,滂沱
滂湃,倾盆
滂沱,滂湃
滂沱大雨,倾盆大雨
彷佛,似乎
彷徨,徘徊
彷徨,旁皇
彷徨歧途,徘徊歧路
庞大,复杂
庞大,宏大
庞大,重大
庞大无比,硕大无朋
庞眉皓发,白发银须
庞杂,错乱
庞杂,错杂
庞杂,纷乱
庞杂,复杂
庞杂,零乱
旁观,傍观
旁观,观察迟疑
旁皇,彷徨
旁门,歪路
旁门左道,歪门邪道
旁敲侧击,拐弯抹角
旁若无人,目中无人
旁征博引,引经据典
旁证,干证
胖子,瘦子
抛摆,抛撇
抛戈弃甲,抱头鼠窜
抛荒,疏弃
抛撇,抛摆
抛弃,摈弃
抛弃,丢弃
抛弃,扔掉
抛弃,甩掉
抛清,撇清
抛却,放弃
抛售,兜售
抛头露面,出头露面
刨根问底,寻根究底
咆哮,吼怒
咆哮,呼啸
咆哮,狂嗥
咆哮,怒吼
庖丁,厨子
庖丁,火头
庖丁,伙头
袍笏登场,粉墨登场
跑江湖,跑码头
跑马,赛马
跑码头,跑江湖
跑堂,茶房
跑堂,管房
跑堂,仆欧
跑堂,侍役
跑堂,侍者
泡茶,沏茶
陪伴,陪同
陪衬,衬托
陪衬,烘托
陪侍,随侍
陪同,伴随
陪同,陪伴
陪罪,告罪
培修,维修
培养,培育
培养,培育种植提拔
培养,造就
培育,培养
培植,扶植
培植,培养
培植,培育提拔
赔本,亏本
赔本,亏蚀
赔本,蚀本
赔本,折本
赔偿,补偿
赔罪,道歉
赔罪,赔礼
佩带,佩戴
佩戴,佩带
佩服,服气
佩服,钦佩
佩服,信服
配备,装备
配房,厢房
配合,共同
配合,合营
配角,副角
配角,主角
配景,背景
配偶,配头
配头,妃耦
配药师,药剂师
配置,设置装备摆设
喷鼻,喷鼻香
喷鼻香,喷香
喷射,放射
歕饭,喷饭
抨击,报复
抨击,鞭挞
抨击,反攻
砰然,轰然
砰然,隆然
烹饪,烹调
烹调,烹饪
朋比为奸,狼狈为奸
朋侪,朋友
朋侪,友人
朋分,豆割
朋分,瓜分
朋友,伴侣
朋友,朋侪
朋友,同伙
朋友,冤家
蓬葆,蓬发
蓬葆,蓬头
蓬菖人,蓬户士
蓬发,蓬葆
蓬莱仙境,洞天福地
蓬莱仙境,蓬瀛仙境
蓬门,陋屋
蓬门,蓬荜
蓬首垢面,披头散发
蓬松,疏松
蓬头垢面,不修边幅
蓬头历齿,头童齿豁
蓬瀛仙境,蓬莱仙境
鹏程万里,前途似锦
澎湃,磅礴
澎湃,彭湃
膨胀,收缩
捧臭脚,拍马屁
捧头,抱头
捧住,端住
碰杯,举杯
碰鼻,碰钉子
碰壁,碰鼻
碰壁,受阻
碰到,碰着
碰钉子,碰壁
碰劲,碰巧
碰面,会面
碰面,谋面
碰巧,可巧
碰巧,碰劲
碰巧,恰巧
碰运气,试试看
批驳,褒贬
批驳,驳斥
批驳,批判
批驳,批评
批发,零售
批改,修改
批红判白,偷天换日
批颊,掌掴
批判,批评
批评,攻讦
批评,批驳
批评,批判
批评,品评
批评,评论
批评,评述
批评,指斥
批评,指摘
批示,指示
批准,核准
批准,同意
纰漏,忽略
披垂,披散
披发,散发
披肝沥胆,诚心诚意
披肝沥胆,赤诚相见
披肝沥胆,丹成相许
披肝沥胆,推诚相见
披荆棘,披荆斩棘
披荆斩棘,披荆棘
披览,拆阅
披览,披阅
披露,表露
披麻带孝,拖麻拽布
披散,披垂
披沙拣金,去粗取精
披沙拣金,去伪存真
披头散发,蓬首垢面
披星带月,餐风宿露
披星带月,餐风宿雨
披星带月,餐风饮露
披星带月,带月披星
披星带月,戴月披星
披星带月,披霜冒露
披星戴月,披星带月
披星戴月,夜以继日
披阅,披览
劈叉,劈腿
劈面,当面
劈面,对面
劈面,扑面
劈面,迎面
劈头,劈脸
劈头,劈头劈脸
劈头,匹面
劈头,起源
劈头盖脸,没头没脑
劈腿,劈叉
霹雳,轰隆
霹雳战,闪电战
皮蛋,京彩
皮郛,皮囊
皮黄,皮簧
皮簧,皮黄
皮娇肉嫩,十指尖尖
皮开肉绽,遍体鳞伤
皮开肉绽,鳞伤遍体
皮毛,外相
皮囊,皮郛
毗连,连接
毗连,毗邻
毗邻,邻接
毗邻,毗连
蚍蜉撼树,不自量力
疲惫,怠倦
疲惫,疲钝
疲惫,疲顿
疲惫,疲乏
疲惫,疲困
疲乏,疲惫
疲乏,疲倦
疲倦,倦怠
疲倦,疲惫
疲劳,疲惫
疲劳,委靡
疲塌,拖拉
脾气,脾性
脾气,性格
匹俦,夫妇
匹俦,佳偶
匹夫之勇,血气之勇
匹夫之勇,有勇无谋
匹马不还,匹马只轮
匹马只轮,匹马不还
匹配,婚配
圮绝,屏绝
仳离,离婚
仳离,离异
癖好,嗜好
屁滚尿流,落花流水
屁滚尿流,片甲不留
屁滚尿流,一败涂地
屁滚尿流,一蹶不振
睥睨,傲视
睥睨,顾盼
辟谣,造谣
僻处一方,局促一隅
僻典,僻事
僻静,荒僻冷僻
僻静,寂静
僻事,僻典
僻巷,陋巷
僻巷,穷巷
譬如,比方
譬如,比如
偏爱,偏心
偏差,偏向
偏差,误差
偏激,过火
偏见,成见
偏见,私见
偏僻,荒僻
偏僻,荒僻罕见
偏僻,偏远
偏偏,恰恰
偏袒,左袒
偏向,方向
偏向,倾向
偏心,公平
偏心,偏疼
偏心,偏幸
偏幸,偏爱
偏言,曲说
偏远,偏僻
偏重,侧重
偏重,着重
骈体文,四六文
片段,片断
片断,片段
片甲不留,屁滚尿流
片刻,半晌
片刻,片霎
片刻,片晌
片刻,片时
片刻,少顷
片刻,少焉
片面,单方面
片面之词,片面之言
片面之言,片面之词
片言立决,一语而解
片纸只字,一鳞半爪
片子,电影
骗财,诈财
骗局,圈套
骗取,欺骗
骗人,哄人
剽悍,懀呛
剽窃,抄袭
漂泊,流浪
漂泊,流落
漂泊,漂浮
漂泊,漂流
漂亮,标致
漂亮,大度
漂亮,美丽
漂亮,摩登
漂亮,时兴
漂亮,英俊
漂零,飘零
漂流,飘流
漂渺,飘渺
漂帐,烂帐
飘泊,流散
飘荡,飘零
飘荡,飘扬
飘动,飞舞
飘拂,飘荡
飘零,漂荡
飘流,流浪
飘流,漂流
飘渺,漂渺
飘飘然,由由然
飘扬,飘荡
飘摇,飘飖
飘飖,飘摇
飘逸,超脱
飘逸,超逸
飘逸,俊逸
飘逸,萧洒
飘逸,潇洒
嫖妓,冶游
票据,单据
票据,单子
慓悍,剽悍
瞥见,看见
撇清,抛清
拚命,搏命
拼凑,拼集
拼集,凑合
拼集,拼凑
贫乏,窘蹙
贫乏,枯窘
贫乏,贫窭
贫乏,穷乏
贫乏,穷困
贫寒,清贫
贫瘠,瘠薄
贫贱,富贵
贫贱交,布衣交
贫苦,麻烦
贫苦,贫困
贫苦,贫穷
贫苦,贫穷困难
贫苦,清贫
贫苦,穷苦
贫困,贫苦
贫困,贫穷
贫民,穷户
贫民,穷人
贫穷,贫困
贫无立锥,家徒四壁
贫无立锥,一贫如洗
频繁,频仍
频频,几次
频频,屡次
频频,屡屡
频频,一再
频仍,频繁
品尝,品味
品德,道德
品德,德行
品德,品格
品德,人格
品德,人品
品格,风致
品格,品德
品格,品质
品格清高,瘦骨如柴
品格清高,仙风道骨
品行,操行
品行,品德
品级,等第
品级,等级
品貌,丰度
品茗,喝茶
品评,批评
品位,档次
品味,咀嚼
品味,品尝
品学兼优,得才兼备
品学兼优,德才兼备
品质,品德
品质,质量
品种,种类
牝牡,雌雄
牝牡骊黄,泾渭不分
聘请,礼聘
聘请,聘任
聘请,延聘
聘任,聘请
聘任,聘用
聘用,聘请
平安,安全
平安,安然
平安无事,安然无事
平安无事,安然无恙
平白无故,凭白无故
平白无故,无缘无故
平步青云,一步登天
平常,泛泛
平常,平凡
平常,平居
平常,平时
平常,往常
平旦,平明
平淡,平平
平淡,平庸
平淡,清淡
平淡无奇,平铺直叙
平等,对等
平等,同等
平地,高山
平地一声雷,飞必冲天
平地一声雷,石破天惊
平凡,平常
平凡,普通
平凡,伟大
平凡,寻常
平分,等分
平分秋色,不相上下
平沽,贱卖
平和,安然平静
平和,和蔼
平和,和悦
平和,平宁
平和,温和
平衡,均衡
平滑,光滑
平滑,滑润
平滑,滑润圆滑
平滑,腻滑
平话,说书
平缓,陡峭
平静,安静
平静,安静冷静僻静
平静,安祥
平静,沉静
平静,静谧
平静,宁静
平静,僻静
平静,太平
平静,镇静
平局,平手
平均,均匀
平空,凭空
平面,立体
平民,布衣
平明,黎明
平明,平旦
平年,闰年
平铺直叙,平淡无奇
平起平坐,等量齐观
平日,常日
平日,素日
平生,生平
平时,平常
平时,日常平凡
平手,平局
平素,平昔
平素,素常
平坦,平展
平坦,平整
平坦大路,康庄大道
平添,平增
平稳,安稳
平稳,颠簸
平昔,平素
平息,停息
平心而论,弄虚作假
平心而谈,持平立论
平心静气,心平气和
平易近人,咄咄逼人
平易近人,和蔼可掬
平易近人,和颜悦色
平易近人,平易近民
平庸,平淡
平庸,平凡
平展,平坦
平正,平允
评比,评选
评断,评议
评估,评价
评话,说书
评论辩论,谈论
评判人,公证人
评判员,裁判员
评释,表明
评头品足,品头论足
评议,评断
评语,考语
凭白无故,平白无故
凭单,笔据
凭借,凭仗
凭据,根据
凭据,凭证
凭空,平空
凭空捏造,闭门造车
凭仗,仰仗
屏蔽,屏障
屏绝,圮绝
屏气凝神,收视返听
屏弃,摈弃
屏障,樊篱
萍泊,萍浮
萍浮,萍泊
萍水相逢,不期而遇
泼妇,恶妻
泼妇,悍妇
泼洒,倾泻
泼油救火,火上加油
颇负盛名,享有盛名
颇为,很是
颇有,很有
迫不得已,必不得已
迫不得已,心甘情愿
迫不及待,火烧眉毛
迫不及待,急如星火
迫不及待,刻不容缓
迫不及待,迫在眉睫
迫害,毒害
迫害,虐待
迫害,危害
迫近,逼近
迫良为娼,逼良为娼
迫临,逼近
迫令,勒令
迫切,火急
迫切,急迫
迫切,急切
迫在眉睫,火烧眉毛
迫在眉睫,燃眉之急
破除,废除
破费,花费
破费,破耗
破釜沉舟,背城借一
破釜沉舟,背水一战
破耗,破钞
破坏,粉碎
破坏,毁坏
破坏,破损
破坏,损坏
破镜重圆,言归于好
破口大骂,扬声恶骂
破烂,褴褛
破例,例外
破裂,分裂
破裂,决裂
破裂,破碎
破裂,碎裂
破落,败落
破灭,幻灭
破碎,破裂
破碎摧毁,粉碎
破涕为笑,转悲为喜
破晓,拂晓
破晓,凌晨
破绽,漏洞
破绽,马脚
魄力,气概气派
魄力,气魄
魄力,气势
魄散九霄,魂飞天外
剖白,辨白
剖辨,别析
剖腹藏珠,因噎废食
剖解,解剖
剖判,判辨
剖判,剖释
剖析,分解
剖析,分析
剖析,解析
剖析,理会
扑面,劈面
扑灭,毁灭
扑灭,歼灭
扑灭,袪除
扑灭,杀绝
扑灭,息灭
扑朔迷离,虚无缥缈
铺保,店保
铺排张扬,铺张扬厉
铺平,摊平
铺天盖地,漫山遍野
铺天盖地,遮天蔽日
铺张,浪费
铺张扬厉,铺排张扬
仆从,奴才
仆从,奴隶
仆欧,跑堂
仆人,家丁
仆役,仆人
仆众,奴婢
匍伏,匍匐
匍匐,爬行
匍匐,蒲伏
蒲扇,葵扇
蒲月,五月
濮上之音,靡靡之音
朴实,俭朴
朴实,俭省
朴实,朴素
朴实,朴质
朴素,朴实
朴直,刚正
朴直,刚直
朴直,高洁
朴直,耿介
朴直,梗直
朴重,正直
朴拙,真诚
普遍,遍及
普遍,广泛
普度众生,普渡众生
普度众生,普济群生
普渡众生,普度众生
普天同庆,率土同庆
普通,通俗
普通化,大众化
曝光,暴光
七、,7、
七零八落,乱七八糟
七拼八凑,东拼西凑
七窍生烟,暴跳如雷
七上八下,忐忑不定
七手八脚,手忙脚乱
七通八达,四通八达
七嘴八舌,人多口杂
七嘴八舌,众说纷纭
沏茶,泡茶
妻子,老婆
栖流所,难民营
栖身,居住
栖身,栖息
凄惨,悲凉
凄惨,惨痛
凄凉,悲凉
凄凉,苍凉
凄凉,苦楚
凄切,悲凉
凄切,凄惨
戚属,亲串
期艾,呐呐
期待,等待
期待,等候
期间,时代
期间,时期
期近,在即
期求,祈求
期望,希冀
期限,刻日
欺负,欺侮
欺凌,凌辱
欺凌,欺负
欺凌,欺压
欺骗,棍骗
欺骗,诳骗
欺骗,诱骗
欺骗,诈骗
欺软怕硬,欺善怕恶
欺世盗名,沽名钓誉
欺侮,欺负
欺压,逼迫
欺压,欺负
欺诈,讹诈
漆黑,乌黑
漆黑,黝黑
蹊径,门路
齐备,齐全
齐备,统统
齐备,完备
齐备,完好
齐大非偶,门高莫对
齐全,齐备
齐全,完全
其后,厥后
其时,当时
其实,实在
其实是,实际上是
其余,其他
其中,此中
其中,个中
奇策,空城计
奇策,妙计
奇峰林立,奇峰罗列
奇怪,奇异
奇怪,希奇
奇怪,新鲜
奇观,奇迹
奇观,异景
奇花异草,奇树异草
奇幻,奇异
奇货可居,囤积居奇
奇迹,古迹
奇迹,奇观
奇迹,事业
奇丽,秀丽
奇妙,奥妙
奇妙,奇奥
奇妙,巧妙
奇人,怪杰
奇特,独特
奇特,奇异
奇文瑰句,废话连篇
奇异,奇怪
奇异,奇特
歧路,岔路
歧路,岔路支路
歧视,轻视
歧途,邪路
祈祷,祷告
祈求,乞求
崎岖,高卑
崎岖,高低
崎岖,坎坷
崎岖,曲折
崎岖潦倒,落魄
骑兵,马队
骑虎难下,进退维谷
骑虎难下,欲罢不能
棋逢敌手,将遇良才
棋逢对手,众寡悬殊
棋战,对弈
綦严,严紧
綦重,极重
旗鼓相当,半斤八两
旗鼓相当,旗敌相当
旗号,灯号
旗号,旗帜
旗开得胜,马到成功
旗开马到,马到成功
旗手,旗头
旗头,旗手
旗帜,旌旗
旗帜,旗号
乞哀告怜,摇尾乞怜
乞贷,借款
乞贷,借钱
乞降,求和
乞求,哀求
乞求,祈求
乞援,讨援
岂但,不但
岂非,难道
岂论,不论
企慕,仰慕
企求,祈求
企图,诡计
企图,贪图
企图,妄图
企图,希图
杞人忧天,庸人自扰
启程,出发
启齿,开口
启迪,启发
启发,开导
启发,启示
启锚,起锚
启蒙,发蒙
启示,启迪
启示,启发
起草,草拟
起程,出发
起程,启程
起初,后来
起初,开初
起初,起先
起点,出发点
起点,终点
起飞,降落
起飞,腾飞
起风,刮风
起伏,崎岖
起伏,升沉
起火点,发火点
起家,起身
起落,升降
起码,最少
起锚,拔锚
起讫,起迄
起迄,起讫
起始,肇端
起誓,赌咒
起誓,发誓
起首,首先
起死回生,妙手回春
起诉,告状
起头,开端
起因,原因
起因,原由
起用,升引
起源,发源
起源,来源
绮丽,瑰丽
绮年玉貌,年轻貌美
绮绮子弟,绮襦纨裤
绮襦纨裤,绮绮子弟
气??,气呼呼
气,气鼓鼓
气,气呼呼
气昂昂,雄赳赳
气冲冲,喜洋洋
气度,气宇
气度,心胸
气氛,氛围
气愤,愤恚
气愤,愤慨
气愤,生气
气概,气势
气概气派,魄力
气鼓鼓,怒冲冲
气鼓鼓,气冲冲
气贯长虹,气冲牛斗
气候,气象
气候,天气
气呼呼,气??
气呼呼,气
气节,时令
气绝,断气
气力,力量
气力,实力
气量气度,心胸
气门心,气门芯
气门芯,气门心
气馁,泄气
气派,气度
气魄,派头
气魄,魄力
气魄,气势
气势,气概
气势,气焰
气势,威风凛凛
气势派头,风格
气势汹汹,八面威风
气吞山河,叱咤风云
气吞山河,气势磅
气吞山河,气势磅礡
气吞山河,气壮山河
气吞山河,声势浩大
气味,气息
气味相投,志同道合
气息,气味
气息奄奄,人命危浅
气息奄奄,奄奄一息
气象,景象形象
气象,气候
气焰,气势
气宇,气度
气宇轩昂,唯唯诺诺
气壮山河,气贯长虹
气壮山河,气吞山河
弃暗投明,改邪归正
弃旧容新,吐故纳新
弃捐,搁置
弃捐,弃置
弃取,取舍
弃文就武,弃文竞武
汽船,轮船
汽锅,锅炉
汽油灯,煤汽灯
泣不成声,喜笑颜开
器具,用具
器量,度量
器重,重视
洽购,采购
洽商,卡脖子
洽商,洽谈
洽商,恰谈
洽谈,洽商
恰当,得当
恰当,适当
恰到好处,恰如其分
恰到好处,适可而止
恰好,刚好
恰好,恰恰
恰好,正好
恰恰,恰好
恰巧,刚巧
恰如其分,恰到好处
恰如私愿,正中下怀
恰似,好似
恰是,正是
恰谈,洽商
千般,百般
千恩万谢,恩将仇报
千方百计,想方设法
千古流芳,流芳百世
千金,令媛
千钧一发,危在旦夕
千克,公斤
千了百当,百了千当
千里镜,望远镜
千里之堤;溃于蚁穴,因小失大
千里之行;始于足下,积少成多
千篇一律,陈旧见解
千篇一律,一模一样
千奇百怪,光怪陆离
千人一面,千篇一律
千算万算，不值天一划,人算不如天算
千头万绪,千丝万缕
千万,万万
千辛万苦,含辛茹苦
千载难逢,千载一时
千载一时,千载难逢
千真万确,确切不移
迁就,姑息
迁就,将就
迁徙,迁移
迁延,拖延
迁移,迁徙
迁移转变,转折
牵挂,挂念
牵挂,悬念
牵就,迁就
牵累,缠累
牵累,连累
牵连,连累
牵联,牵连
牵强附会,顺理成章
牵涉,牵扯
悭吝,吝啬
谦恭,谦和
谦和,谦恭
谦让,辞让
谦让,忍让
谦让,推让
谦善,谦虚
谦谢,逊谢
谦虚,谦善
谦虚,谦逊
谦虚谨慎,狂妄自大
谦逊,礼让
谦逊,谦虚
签订,签定
签订,签署
签署,签订
前辈,先辈
前辈,长辈
前车可鉴,前车之鉴
前车之鉴,前车可鉴
前程,出息
前程,前途
前次,上次
前方,后方
前锋,先锋
前赴后继,前仆后继
前后相接,肩摩踵接
前呼后拥,前呼后应
前几天,头几天
前进,行进
前进,进步
前景,远景
前面,后面
前怕狼;后怕虎,瞻前顾后
前仆后继,前赴后继
前期,后期
前驱,先驱
前去,前往
前人,后人
前任,后任
前世,宿世
前世怨仇,夙世冤家
前事不忘;后事之师,前车之鉴
前思后想,忖前思后
前所未有,史无前例
前提,条件
前途,出路
前途,前程
前途难料,未定之天
前途似锦,鹏程万里
前往,前去
前夕,前夜
前贤,先哲
前线,火线
前线,前列
前线,前哨
前言,媒介
前夜,前夕
前因后果,来龙去脉
前兆,先兆
前兆,预兆
虔诚,虔敬
虔诚,忠诚
虔敬,虔诚
钱币,货币
钱财,财帛
钱袋,荷包
钱可通神,金钱万能
钱粮,赋税
钱树子,摇钱树
钱庄,银号
钳形进攻,左右夹攻
掮客,经纪
潜藏,躲藏
潜伏,暗藏
潜伏,窜伏
潜伏,埋伏
潜伏,潜在
潜伏,隐蔽
潜逃,叛逃
潜逃,逃窜
潜在,潜伏
黔黎,黔首
黔驴技穷,黔驴之技
黔驴之技,黔驴技穷
黔首,黔黎
浅薄,陋劣
浅薄,浅陋
浅见,高见
浅近,高深
浅近,浅显
浅近,浅易
浅陋,浅薄
浅色,淡色
浅显,粗浅
浅显,浅近
浅显,浅易
浅笑,含笑
浅易,简易
浅易,浅近
遣词,遣辞
遣辞,遣词
遣散,斥逐
遣散,解散
谴责,训斥
缱绻,缠绵
缱绻,绸缪
欠安,不佳
欠好,不好
欠亨,不通
欠据,借据
欠缺,完善
欠伸,呵欠
欠债,负债
歉年,丰年
歉岁,荒年
歉仄,抱歉
枪弹,子弹
枪支,枪枝
枪枝,枪支
戗风,逆风
腔调,声调
强暴,强横
强词夺理,蛮横无理
强大,弱小
强大,壮大
强盗,匪徒
强敌,劲敌
强横,刁悍
强横,蛮横
强横,强暴
强健,健旺
强健,矫健
强健,强壮
强劲,微弱
强烈,激烈
强烈热闹,热烈
强迫,逼迫
强迫,强制
强人,能人
强人,强者
强身健体,强体健身
强盛,强大
强体健身,强身健体
强调,夸大
强占,侵占
强制,强迫
强壮,健壮
强壮,强健
抢夺,掠夺
抢夺,掠取
抢夺,争夺
抢劫,掳掠
抢救,急救
抢救,挽救
抢先,争先
悄悄,暗暗
悄悄,静静
悄悄,悄然
悄悄的,偷偷的
悄然默默,静静
敲诈,讹诈
敲诈,欺诈
敲诈勒索,巧取豪夺
敲榨勒索,软硬兼取
乔迁之喜,出谷迁乔
乔妆,改扮
侨民,外侨
谯楼,角楼
憔悴,蕉萃
巧夺天工,鬼斧神工
巧合,偶合
巧计,妙策
巧妙,奇妙
巧取豪夺,敲诈勒索
巧舌,巧言
巧言,巧舌
巧言,巧语
俏丽,美丽
窍门,诀窍
翘楚,俊彦
切齿腐心,深恶痛绝
切齿痛恨,切齿腐心
切齿痛恨,痛心疾首
切磋,商讨
切磋琢磨,互相研究
切当,得当
切当,确切
切断,堵截
切断,割断
切肤之痛,切身痛苦
切合,符合
切谏,直谏
切口,暗语
切口,瘦语
切脉,把脉
切切私语,喁喁私语
切身,亲身
切身痛苦,切肤之痛
切实,实在
切题,离题
切题,贴题
切中时弊,一针见血
茄克,夹克
怯夫,懦夫
怯懦,勇敢
窃密,保密
窃窃私议,低声密谈
窃窃私议,交头接耳
窃窃私语,交头接耳
窃取,盗取
窃笑,暗笑
惬意,舒服
锲而不舍,坚持不懈
钦敬,崇敬
钦佩,敬佩
侵犯,加害
侵犯,进犯
侵犯,侵略
侵犯,侵占
侵害,损害
侵陵,陵犯
侵略,侵犯
侵蚀,腐蚀
侵吞,并吞
侵占,侵犯
亲串,戚属
亲密,密切
亲昵,密切
亲朋,亲友
亲切,亲热
亲热,激情亲切
亲热,亲近
亲热,亲切
亲身,切身
亲身,亲自
亲事,婚事
亲属,支属
亲信,心腹
亲信背叛,舟中敌国
亲友,亲朋
亲自,亲身
秦朝,秦代
秦代,秦朝
秦晋之好,两姓之好
秦晋之好,两姓之欢
勤奋,勤恳
勤奋,勤劳
勤奋,勤勉
勤奋,用功
勤俭,节俭
勤俭,节约
勤恳,勤奋
勤快,勤劳
勤劳,勤奋
勤勉,勤恳
勤能补拙,功在不舍
勤勤俭俭,艰苦朴素
勤学,好学
勤学不辍,孜孜不倦
寝陋,貌寝
寝食不安,食不甘味
寝室,睡房
寝室,卧室
寝衣,睡衣
沁人肺腑,沁人心脾
